impl,shape,numel,ms_median,gbps
cuda_scalar,65536,65536,0.01539,68.12
cuda_float4,65536,65536,0.01162,90.27
cuda_scalar,262144,262144,0.05350,78.39
cuda_float4,262144,262144,0.05197,80.71
cuda_scalar,1048576,1048576,0.18797,89.26
cuda_float4,1048576,1048576,0.18022,93.09
cuda_scalar,4194304,4194304,0.71190,94.27
cuda_float4,4194304,4194304,0.69357,96.76
cuda_scalar,16777216,16777216,2.83478,94.69
cuda_float4,16777216,16777216,2.74656,97.74
cuda_scalar,67108864,67108864,12.49910,85.91
cuda_float4,67108864,67108864,10.98650,97.73
