kernel,dtype,impl,shape,numel,ms_median,ms_q20,ms_q80,gbps,torch,triton,cuda,device,capability,power_mode,timestamp_utc
elementwise,fp32,triton_fused,65536,65536,0.02352,0.02252,0.02382,44.58,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp32,eager,65536,65536,0.04048,0.03889,0.04123,25.9,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp32,triton_fused,262144,262144,0.05795,0.05739,0.05875,72.38,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp32,eager,262144,262144,0.10621,0.10536,0.10736,39.49,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp32,triton_fused,1048576,1048576,0.18829,0.18749,0.18909,89.1,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp32,eager,1048576,1048576,0.37498,0.3737,0.37606,44.74,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp32,triton_fused,4194304,4194304,0.70568,0.70515,0.70646,95.1,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp32,eager,4194304,4194304,1.41637,1.41212,1.41857,47.38,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp32,triton_fused,16777216,16777216,2.78976,2.78432,2.79341,96.22,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp32,eager,16777216,16777216,5.5911,5.5809,5.60422,48.01,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp32,triton_fused,67108864,67108864,11.06851,11.06345,11.07149,97.01,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp32,eager,67108864,67108864,22.21606,22.19464,22.22394,48.33,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
