kernel,dtype,impl,shape,numel,ms_median,ms_q20,ms_q80,gbps,tflops,pct_cublas,torch,triton,cuda,device,capability,power_mode,timestamp_utc
matmul,fp32,cublas,256x256x256,65536,0.02813,0.02756,0.02888,27.96,1.193,100.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:05:46+00:00
matmul,fp32,triton,256x256x256,65536,0.02624,0.02561,0.02669,29.97,1.279,107.2,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:05:46+00:00
matmul,fp32,cublas,512x512x512,262144,0.07387,0.07324,0.07448,42.58,3.634,100.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:05:46+00:00
matmul,fp32,triton,512x512x512,262144,0.07475,0.07398,0.07545,42.08,3.591,98.8,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:05:46+00:00
matmul,fp32,cublas,1024x1024x1024,1048576,0.47286,0.4721,0.4737,26.61,4.541,100.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:05:46+00:00
matmul,fp32,triton,1024x1024x1024,1048576,0.47446,0.46965,0.47622,26.52,4.526,99.7,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:05:46+00:00
matmul,fp32,cublas,2048x2048x2048,4194304,4.01752,4.01447,4.02012,12.53,4.276,100.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:05:46+00:00
matmul,fp32,triton,2048x2048x2048,4194304,4.31389,4.18492,4.37186,11.67,3.982,93.1,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:05:46+00:00
matmul,fp32,cublas,4096x4096x4096,16777216,27.96256,27.80691,28.00722,7.2,4.915,100.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:05:46+00:00
matmul,fp32,triton,4096x4096x4096,16777216,37.62354,37.15084,38.09623,5.35,3.653,74.3,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:05:46+00:00
