kernel,dtype,impl,shape,numel,ms_median,ms_q20,ms_q80,gbps,tflops,pct_cublas,torch,triton,cuda,device,capability,power_mode,timestamp_utc
softmax,fp16,triton_fused,4096x256,1048576,0.11195,0.11087,0.11246,37.47,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,triton_online,4096x256,1048576,0.16462,0.16395,0.16527,38.22,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,eager,4096x256,1048576,0.07376,0.07299,0.07441,56.86,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,torch_compile,4096x256,1048576,0.06136,0.05996,0.06253,68.36,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,triton_fused,4096x1024,4194304,0.19894,0.19725,0.20058,84.33,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,triton_online,4096x1024,4194304,0.20499,0.20464,0.20531,122.76,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,eager,4096x1024,4194304,0.21469,0.21414,0.21558,78.15,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,torch_compile,4096x1024,4194304,0.45286,0.45228,0.45385,37.05,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,triton_fused,4096x4096,16777216,0.72922,0.72658,0.73727,92.03,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,triton_online,4096x4096,16777216,0.73646,0.73533,0.73789,136.68,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,eager,4096x4096,16777216,2.8607,2.85955,2.86179,23.46,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,torch_compile,4096x4096,16777216,1.40046,1.39966,1.4014,47.92,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,triton_fused,16384x1024,16777216,0.7777,0.77502,0.77988,86.29,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,triton_online,16384x1024,16777216,0.78922,0.78811,0.79071,127.55,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,eager,16384x1024,16777216,0.78928,0.78808,0.79049,85.03,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,torch_compile,16384x1024,16777216,1.88976,1.88872,1.89019,35.51,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,triton_fused,1024x16384,16777216,0.73277,0.7289,0.73531,91.58,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,triton_online,1024x16384,16777216,1.07613,1.07455,1.07846,93.54,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,eager,1024x16384,16777216,1.47942,1.47645,1.48259,45.36,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
softmax,fp16,torch_compile,1024x16384,16777216,1.67998,1.67872,1.79304,39.95,,,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:29:09+00:00
