kernel,dtype,impl,shape,numel,ms_median,ms_q20,ms_q80,gbps,torch,triton,cuda,device,capability,power_mode,timestamp_utc
softmax,fp32,triton_fused,4096x256,1048576,0.12835,0.1278,0.12931,65.36,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,triton_online,4096x256,1048576,0.17646,0.17546,0.17706,71.31,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,eager,4096x256,1048576,0.09971,0.09899,0.10021,84.13,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,triton_fused,4096x1024,4194304,0.36275,0.36139,0.36378,92.5,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,triton_online,4096x1024,4194304,0.36251,0.36123,0.36319,138.84,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,eager,4096x1024,4194304,0.3608,0.3602,0.36283,93.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,triton_fused,4096x4096,16777216,1.40694,1.40531,1.40922,95.4,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,triton_online,4096x4096,16777216,1.91194,1.91004,1.9166,105.3,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,eager,4096x4096,16777216,3.044,3.03459,3.04858,44.09,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,triton_fused,16384x1024,16777216,1.41088,1.40531,1.41494,95.13,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,triton_online,16384x1024,16777216,1.40715,1.40474,1.40815,143.07,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,eager,16384x1024,16777216,1.4125,1.409,1.4141,95.02,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,triton_fused,1024x16384,16777216,1.4392,1.43674,1.4407,93.26,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,triton_online,1024x16384,16777216,2.11574,2.108,2.1206,95.16,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
softmax,fp32,eager,1024x16384,16777216,2.19456,2.18694,2.20067,61.16,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
